objectid,parentid,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,longitude,latitude
"162",,Congregational Church Cemetery,,,,cemetery,Bainbridge,,,,,,,,record,,,,-75.47805556,42.29138889
"163",,Coon Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.43916667,42.61277778
"164",,Cooper Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.50027778,42.36138889
"166",,Cornell Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.43694444,42.4525
"167",,Corning Cemetery,,,,cemetery,Pitcher,,,,,,,,record,,,,-75.82972222,42.56027778
"168",,Coventry Cemetery,,,,cemetery,Coventry,,,,,,,,record,,,,-75.63444444,42.315
"169",,Coventryville Cemetery,,,,cemetery,Coventry,,,,,,,,record,,,,-75.59777778,42.31194444
"171",,Cox Cemetery,,,,cemetery,Plymouth,,,,,,,,record,,,,-75.60583333,42.63361111
"172",,Crane Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.77666667,42.58416667
"173",,Cummings Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,,
"174",,Curtis Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.58055556,42.44611111
"175",,Curtiss Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.63388889,42.49472222
"176",,Daniel Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.66388889,42.54972222
"177",,Davis Cemetery,,,,cemetery,Bainbridge,,,,,,,,record,,,,-75.51888889,42.30638889
"178",,Davis Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.53083333,42.48083333
"179",,Davis Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.85277778,42.43611111
"180",,Deshom Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,,
"181",,Donnelly Cemetery,,,,cemetery,Plymouth,,,,,,,,record,,,,-75.58777778,42.55611111
"182",,Dorman Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.50555556,42.41472222
"183",,Dunkin Plot,,,,cemetery,North Norwich,,,,,,,,record,,,,-75.48944444,42.63861111
"184",,Dutch Hill Cemetery,,,,cemetery,German,,,,,,,,record,,,,-75.77805556,42.475
"190",,East Side Cemetery,,,,cemetery,Afton,,,,,,,,record,,,,-75.5180553239142,42.2257470278128
"191",,Eccleston Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,,
"192",,Eddy Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.75666667,42.45388889
"193",,Edmonds Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.40083333,42.57222222
"194",,Edwards Cemetery,,,,cemetery,Pitcher,,,,,,,,record,,,,-75.8775,42.54111111
"196",,English Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.81777778,42.26527778
"197",,Enos Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.58166667,42.445
"198",,Evergreen Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.40722222,42.48333333
"199",,Fairview Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.395,42.62833333
"200",,Fenner Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.395,42.59861111
"201",,Ferris #1 Cemetery,,,,cemetery,Smyrna,,,,,,,,record,,,,-75.63611111,42.68638889
"202",,Ferris #2 Cemetery,,,,cemetery,Smyrna,,,,,,,,record,,,,-75.64277778,42.66444444
"203",,Finch Burial Ground,,,,cemetery,Pitcher,,,,,,,,record,,,,-75.8408327011746,42.5958274094688
"204",,First Baptist Church Cemetery,,,,cemetery,Afton,,,,,,,,record,,,,-75.5250791719264,42.2301410734154
"205",,First Settler's Burial Ground,,,,cemetery,Smyrna,,,,,,,,record,,,,-75.57277778,42.68277778
"206",,Flint Cemetery,,,,cemetery,German,,,,,,,,record,,,,-75.80388889,42.53111111
"207",,Fly Meadow Creek Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.61555556,42.52111111
"208",,Foote Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.43944444,42.37722222
"209",,Ford Cemetery,,,,cemetery,German,,,,,,,,record,,,,-75.83916667,42.45861111
"210",,Foster Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.55472222,42.52305556
"211",,Franklin #1 Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.6625,42.54527778
"212",,Franklin #2 Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.65,42.54083333
"214",,Frink Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.69027778,42.61472222
"215",,Gale Cemetery,,,,cemetery,McDonough,,,,,,,,record,,,,-75.69611111,42.51944444
"216",,Gale Farm Plot,,,,cemetery,McDonough,,,,,,,,record,,,,,
"217",,Gates Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.54638889,42.48222222
"219",,Giles Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.54361111,42.47277778
"221",,Godfrey Corners Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.44083333,42.42333333
"223",,Green Lawn Cemetery,,,,cemetery,Bainbridge,,,,,,,,record,,,,-75.485,42.29861111
"224",,Greenwood Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.33083333,42.62972222
