title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,reference_url
"Eddy Cemetery","","","","cemetery","Smithville","42.45388889","-75.75666667","","","","","","","","/item.html?id=192"
"Edmonds Cemetery","","","","cemetery","New Berlin","42.57222222","-75.40083333","","","","","","","","/item.html?id=193"
"Edwards Cemetery","","","","cemetery","Pitcher","42.54111111","-75.8775","","","","","","","","/item.html?id=194"
"English Cemetery","","","","cemetery","Greene","42.26527778","-75.81777778","","","","","","","","/item.html?id=196"
"Enos Cemetery","","","","cemetery","Oxford","42.445","-75.58166667","","","","","","","","/item.html?id=197"
"Evergreen Cemetery","","","","cemetery","Norwich","42.48333333","-75.40722222","","","","","","","","/item.html?id=198"
"Fairview Cemetery","","","","cemetery","New Berlin","42.62833333","-75.395","","","","","","","","/item.html?id=199"
"Fenner Cemetery","","","","cemetery","New Berlin","42.59861111","-75.395","","","","","","","","/item.html?id=200"
"Ferris #1 Cemetery","","","","cemetery","Smyrna","42.68638889","-75.63611111","","","","","","","","/item.html?id=201"
"Ferris #2 Cemetery","","","","cemetery","Smyrna","42.66444444","-75.64277778","","","","","","","","/item.html?id=202"
"Finch Burial Ground","","","","cemetery","Pitcher","42.5958274094688","-75.8408327011746","","","","","","","","/item.html?id=203"
"First Baptist Church Cemetery","","","","cemetery","Afton","42.2301410734154","-75.5250791719264","","","","","","","","/item.html?id=204"
"First Settler&#39;s Burial Ground","","","","cemetery","Smyrna","42.68277778","-75.57277778","","","","","","","","/item.html?id=205"
"Flint Cemetery","","","","cemetery","German","42.53111111","-75.80388889","","","","","","","","/item.html?id=206"
"Fly Meadow Creek Cemetery","","","","cemetery","Preston","42.52111111","-75.61555556","","","","","","","","/item.html?id=207"
"Foote Cemetery","","","","cemetery","Guilford","42.37722222","-75.43944444","","","","","","","","/item.html?id=208"
"Ford Cemetery","","","","cemetery","German","42.45861111","-75.83916667","","","","","","","","/item.html?id=209"
"Foster Cemetery","","","","cemetery","Norwich","42.52305556","-75.55472222","","","","","","","","/item.html?id=210"
"Franklin #1 Cemetery","","","","cemetery","Preston","42.54527778","-75.6625","","","","","","","","/item.html?id=211"
"Franklin #2 Cemetery","","","","cemetery","Preston","42.54083333","-75.65","","","","","","","","/item.html?id=212"
"Frink Cemetery","","","","cemetery","Pharsalia","42.61472222","-75.69027778","","","","","","","","/item.html?id=214"
